treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
+clip,STACK,15,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.29190737,0.1441709,200160,953,,,
+clip,STACK,15,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.28909875,0.15240535,200160,953,,,
+clip,STACK,15,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.260945,0.23494798,200160,953,,,
+clip,STACK,15,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.26476327,0.22375338,200160,953,,,
+clip,STACK,15,10,SINGLE_VARIANCE,lhs,comma,off,clip,0.30356727,0.10998578,200160,953,,,
+clip,STACK,15,11,SINGLE_VARIANCE,lhs,comma,off,clip,0.30581214,0.10340417,200160,953,,,
+clip,STACK,15,12,SINGLE_VARIANCE,lhs,comma,off,clip,0.31396532,0.07950025,200160,953,,,
+clip,STACK,15,13,SINGLE_VARIANCE,lhs,comma,off,clip,0.30871408,0.0948961,200160,953,,,
+clip,STACK,15,14,SINGLE_VARIANCE,lhs,comma,off,clip,0.28809722,0.15534169,200160,953,,,
+clip,STACK,15,15,SINGLE_VARIANCE,lhs,comma,off,clip,0.27870109,0.18288975,200160,953,,,
+clip,STACK,15,16,SINGLE_VARIANCE,lhs,comma,off,clip,0.29092573,0.14704892,200160,953,,,
+clip,STACK,15,17,SINGLE_VARIANCE,lhs,comma,off,clip,0.28068098,0.17708502,200160,953,,,
+clip,STACK,15,18,SINGLE_VARIANCE,lhs,comma,off,clip,0.30175856,0.11528867,200160,953,,,
+clip,STACK,15,19,SINGLE_VARIANCE,lhs,comma,off,clip,0.26573655,0.22089987,200160,953,,,
+clip,STACK,15,20,SINGLE_VARIANCE,lhs,comma,off,clip,0.28476749,0.16510396,200160,953,,,
+clip,STACK,15,21,SINGLE_VARIANCE,lhs,comma,off,clip,0.28411949,0.16700381,200160,953,,,
+clip,STACK,15,22,SINGLE_VARIANCE,lhs,comma,off,clip,0.29961546,0.12157193,200160,953,,,
+clip,STACK,15,23,SINGLE_VARIANCE,lhs,comma,off,clip,0.28809278,0.15535471,200160,953,,,
+clip,STACK,15,24,SINGLE_VARIANCE,lhs,comma,off,clip,0.30944678,0.09274794,200160,953,,,
+clip,STACK,20,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.23658049,0.17456081,200160,953,,,
+clip,STACK,20,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.23580429,0.17726901,200160,953,,,
+clip,STACK,20,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.22385396,0.2189642,200160,953,,,
+clip,STACK,20,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.23697301,0.17319129,200160,953,,,
+clip,STACK,20,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.24289544,0.1525277,200160,953,,,
+clip,STACK,20,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.24914927,0.1307078,200160,953,,,
+clip,STACK,20,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.22778693,0.20524191,200160,953,,,
+clip,STACK,20,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.25528342,0.10930549,200160,953,,,
+clip,STACK,20,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.22373452,0.21938094,200160,953,,,
+clip,STACK,20,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.22879602,0.20172114,200160,953,,,
+clip,STACK,20,10,SINGLE_VARIANCE,lhs,comma,off,clip,0.22802074,0.20442612,200160,953,,,
+clip,STACK,20,11,SINGLE_VARIANCE,lhs,comma,off,clip,0.22870627,0.20203431,200160,953,,,
+clip,STACK,20,12,SINGLE_VARIANCE,lhs,comma,off,clip,0.25283712,0.11784075,200160,953,,,
+clip,STACK,20,13,SINGLE_VARIANCE,lhs,comma,off,clip,0.22534653,0.21375657,200160,953,,,
+clip,STACK,20,14,SINGLE_VARIANCE,lhs,comma,off,clip,0.22400801,0.21842673,200160,953,,,
+clip,STACK,20,15,SINGLE_VARIANCE,lhs,comma,off,clip,0.23634327,0.17538848,200160,953,,,
+clip,STACK,20,16,SINGLE_VARIANCE,lhs,comma,off,clip,0.23360229,0.18495187,200160,953,,,
+clip,STACK,20,17,SINGLE_VARIANCE,lhs,comma,off,clip,0.23451013,0.18178438,200160,953,,,
+clip,STACK,20,18,SINGLE_VARIANCE,lhs,comma,off,clip,0.23710505,0.17273059,200160,953,,,
+clip,STACK,20,19,SINGLE_VARIANCE,lhs,comma,off,clip,0.21622191,0.24559274,200160,953,,,
+clip,STACK,20,20,SINGLE_VARIANCE,lhs,comma,off,clip,0.24798455,0.13477157,200160,953,,,
+clip,STACK,20,21,SINGLE_VARIANCE,lhs,comma,off,clip,0.24337127,0.15086749,200160,953,,,
+clip,STACK,20,22,SINGLE_VARIANCE,lhs,comma,off,clip,0.24691774,0.1384937,200160,953,,,
