treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_reflect,WP3,10,0,SINGLE_VARIANCE,lhs,comma,reflect,0.40097257,0.04820308,100200,477,,,
B-repair_reflect,WP3,10,1,SINGLE_VARIANCE,lhs,comma,reflect,0.37701875,0.10506277,100200,477,,,
B-repair_reflect,WP3,10,2,SINGLE_VARIANCE,lhs,comma,reflect,0.38905997,0.07648028,100200,477,,,
B-repair_reflect,WP3,10,3,SINGLE_VARIANCE,lhs,comma,reflect,0.37709893,0.10487244,100200,477,,,
B-repair_reflect,WP3,10,4,SINGLE_VARIANCE,lhs,comma,reflect,0.38111782,0.09533271,100200,477,,,
B-repair_reflect,WP3,10,5,SINGLE_VARIANCE,lhs,comma,reflect,0.38546325,0.08501788,100200,477,,,
B-repair_reflect,WP3,10,6,SINGLE_VARIANCE,lhs,comma,reflect,0.3994114,0.05190886,100200,477,,,
B-repair_reflect,WP3,10,7,SINGLE_VARIANCE,lhs,comma,reflect,0.40231595,0.04501427,100200,477,,,
B-repair_reflect,WP3,10,8,SINGLE_VARIANCE,lhs,comma,reflect,0.38794109,0.07913617,100200,477,,,
B-repair_reflect,WP3,10,9,SINGLE_VARIANCE,lhs,comma,reflect,0.39166928,0.07028649,100200,477,,,
B-repair_reflect,WP3,15,0,SINGLE_VARIANCE,lhs,comma,reflect,0.29227293,0.14309913,100200,477,,,
B-repair_reflect,WP3,15,1,SINGLE_VARIANCE,lhs,comma,reflect,0.26639634,0.21896545,100200,477,,,
B-repair_reflect,WP3,15,2,SINGLE_VARIANCE,lhs,comma,reflect,0.28350108,0.16881688,100200,477,,,
B-repair_reflect,WP3,15,3,SINGLE_VARIANCE,lhs,comma,reflect,0.28951139,0.15119555,100200,477,,,
B-repair_reflect,WP3,15,4,SINGLE_VARIANCE,lhs,comma,reflect,0.27850243,0.1834722,100200,477,,,
B-repair_reflect,WP3,15,5,SINGLE_VARIANCE,lhs,comma,reflect,0.27900845,0.18198862,100200,477,,,
B-repair_reflect,WP3,15,6,SINGLE_VARIANCE,lhs,comma,reflect,0.28602738,0.16141016,100200,477,,,
B-repair_reflect,WP3,15,7,SINGLE_VARIANCE,lhs,comma,reflect,0.29901934,0.12331966,100200,477,,,
B-repair_reflect,WP3,15,8,SINGLE_VARIANCE,lhs,comma,reflect,0.27657006,0.1891376,100200,477,,,
