variant,n_circles,seed,evaluations,best_fitness
baseline,7,0,98310,0.52346181
baseline,7,0,98520,0.52346185
baseline,7,0,98730,0.52346184
baseline,7,0,98940,0.52346182
baseline,7,0,99150,0.52346187
baseline,7,0,99360,0.52346182
baseline,7,0,99570,0.52346186
baseline,7,0,99780,0.52346186
baseline,7,0,99990,0.52346192
baseline,7,0,100200,0.52346189
baseline,7,1,240,0.31264834
baseline,7,1,450,0.24239757
baseline,7,1,660,0.28596761
baseline,7,1,870,0.33842012
baseline,7,1,1080,0.30271998
baseline,7,1,1290,0.29183048
baseline,7,1,1500,0.24496319
baseline,7,1,1710,0.24993288
baseline,7,1,1920,0.36886902
baseline,7,1,2130,0.32356118
baseline,7,1,2340,0.27074331
baseline,7,1,2550,0.40819104
baseline,7,1,2760,0.27846829
baseline,7,1,2970,0.31676095
baseline,7,1,3180,0.31387740
baseline,7,1,3390,0.28460610
baseline,7,1,3600,0.34507998
baseline,7,1,3810,0.34976708
baseline,7,1,4020,0.35744229
baseline,7,1,4230,0.38832462
baseline,7,1,4440,0.39647943
baseline,7,1,4650,0.41455433
baseline,7,1,4860,0.39869145
baseline,7,1,5070,0.39278579
baseline,7,1,5280,0.41453025
baseline,7,1,5490,0.42356062
baseline,7,1,5700,0.42193195
baseline,7,1,5910,0.42395411
baseline,7,1,6120,0.43619893
baseline,7,1,6330,0.43778301
baseline,7,1,6540,0.45070285
baseline,7,1,6750,0.44511870
baseline,7,1,6960,0.45826176
baseline,7,1,7170,0.45205749
baseline,7,1,7380,0.46770632
baseline,7,1,7590,0.46305336
baseline,7,1,7800,0.48440121
baseline,7,1,8010,0.47091109
baseline,7,1,8220,0.47345287
baseline,7,1,8430,0.48381061
baseline,7,1,8640,0.48242603
baseline,7,1,8850,0.48513564
baseline,7,1,9060,0.48175948
baseline,7,1,9270,0.48039277
baseline,7,1,9480,0.48411053
baseline,7,1,9690,0.49064655
baseline,7,1,9900,0.48864564
baseline,7,1,10110,0.49555959
baseline,7,1,10320,0.49603694
baseline,7,1,10530,0.49975687
baseline,7,1,10740,0.50136503
baseline,7,1,10950,0.50265919
baseline,7,1,11160,0.50382288
baseline,7,1,11370,0.50517646
baseline,7,1,11580,0.50559327
baseline,7,1,11790,0.50662542
baseline,7,1,12000,0.50882797
baseline,7,1,12210,0.50957383
baseline,7,1,12420,0.51009101
baseline,7,1,12630,0.51130600
baseline,7,1,12840,0.51178670
baseline,7,1,13050,0.51258124
baseline,7,1,13260,0.51295178
baseline,7,1,13470,0.51408202
baseline,7,1,13680,0.51437825
baseline,7,1,13890,0.51562070
baseline,7,1,14100,0.51609526
baseline,7,1,14310,0.51562352
baseline,7,1,14520,0.51644466
baseline,7,1,14730,0.51686473
baseline,7,1,14940,0.51665111
baseline,7,1,15150,0.51791206
baseline,7,1,15360,0.51723383
baseline,7,1,15570,0.51786981
baseline,7,1,15780,0.51779936
baseline,7,1,15990,0.51802386
baseline,7,1,16200,0.51838728
baseline,7,1,16410,0.51883205
baseline,7,1,16620,0.51872939
baseline,7,1,16830,0.51886767
baseline,7,1,17040,0.51927581
baseline,7,1,17250,0.51906912
baseline,7,1,17460,0.51930448
baseline,7,1,17670,0.51968427
baseline,7,1,17880,0.51982081
baseline,7,1,18090,0.51981491
baseline,7,1,18300,0.51980687
baseline,7,1,18510,0.51983791
baseline,7,1,18720,0.51999830
baseline,7,1,18930,0.52010425
baseline,7,1,19140,0.52011383
baseline,7,1,19350,0.52004290
baseline,7,1,19560,0.52018633
baseline,7,1,19770,0.52022477
baseline,7,1,19980,0.52043893
baseline,7,1,20190,0.52039545
baseline,7,1,20400,0.52040128
baseline,7,1,20610,0.52043381
baseline,7,1,20820,0.52037465
baseline,7,1,21030,0.52047384
baseline,7,1,21240,0.52053114
baseline,7,1,21450,0.52050296
baseline,7,1,21660,0.52051240
baseline,7,1,21870,0.52054141
baseline,7,1,22080,0.52062325
baseline,7,1,22290,0.52061846
baseline,7,1,22500,0.52061983
baseline,7,1,22710,0.52065029
baseline,7,1,22920,0.52068945
baseline,7,1,23130,0.52075844
baseline,7,1,23340,0.52078493
baseline,7,1,23550,0.52086544
baseline,7,1,23760,0.52089882
baseline,7,1,23970,0.52087964
baseline,7,1,24180,0.52092878
baseline,7,1,24390,0.52093989
baseline,7,1,24600,0.52097730
baseline,7,1,24810,0.52098496
baseline,7,1,25020,0.52099415
baseline,7,1,25230,0.52100619
baseline,7,1,25440,0.52099816
baseline,7,1,25650,0.52103020
baseline,7,1,25860,0.52104473
baseline,7,1,26070,0.52108560
baseline,7,1,26280,0.52110164
baseline,7,1,26490,0.52111029
baseline,7,1,26700,0.52113903
baseline,7,1,26910,0.52114698
baseline,7,1,27120,0.52114741
baseline,7,1,27330,0.52116544
baseline,7,1,27540,0.52116830
baseline,7,1,27750,0.52118485
baseline,7,1,27960,0.52117844
baseline,7,1,28170,0.52118780
baseline,7,1,28380,0.52119214
baseline,7,1,28590,0.52119955
baseline,7,1,28800,0.52120382
baseline,7,1,29010,0.52120528
baseline,7,1,29220,0.52119941
baseline,7,1,29430,0.52120224
baseline,7,1,29640,0.52120944
baseline,7,1,29850,0.52121381
baseline,7,1,30060,0.52121631
baseline,7,1,30270,0.52121923
baseline,7,1,30480,0.52122056
baseline,7,1,30690,0.52122096
baseline,7,1,30900,0.52122386
baseline,7,1,31110,0.52122593
baseline,7,1,31320,0.52122624
baseline,7,1,31530,0.52122694
baseline,7,1,31740,0.52122812
baseline,7,1,31950,0.52122880
baseline,7,1,32160,0.52123057
baseline,7,1,32370,0.52123112
baseline,7,1,32580,0.52123356
baseline,7,1,32790,0.52123181
baseline,7,1,33000,0.52123202
baseline,7,1,33210,0.52123413
baseline,7,1,33420,0.52123622
baseline,7,1,33630,0.52123679
baseline,7,1,33840,0.52123921
baseline,7,1,34050,0.52124120
baseline,7,1,34260,0.52124189
baseline,7,1,34470,0.52124335
baseline,7,1,34680,0.52124373
baseline,7,1,34890,0.52124464
baseline,7,1,35100,0.52124767
baseline,7,1,35310,0.52124727
baseline,7,1,35520,0.52124836
baseline,7,1,35730,0.52124969
baseline,7,1,35940,0.52125031
baseline,7,1,36150,0.52125161
baseline,7,1,36360,0.52125447
baseline,7,1,36570,0.52125452
baseline,7,1,36780,0.52125452
baseline,7,1,36990,0.52125544
baseline,7,1,37200,0.52125545
baseline,7,1,37410,0.52125596
baseline,7,1,37620,0.52125765
baseline,7,1,37830,0.52125728
baseline,7,1,38040,0.52125828
baseline,7,1,38250,0.52125878
baseline,7,1,38460,0.52125905
baseline,7,1,38670,0.52125971
baseline,7,1,38880,0.52126059
baseline,7,1,39090,0.52126065
baseline,7,1,39300,0.52126103
baseline,7,1,39510,0.52126094
baseline,7,1,39720,0.52126132
baseline,7,1,39930,0.52126146
baseline,7,1,40140,0.52126178
baseline,7,1,40350,0.52126212
baseline,7,1,40560,0.52126230
baseline,7,1,40770,0.52126255
baseline,7,1,40980,0.52126275
baseline,7,1,41190,0.52126284
baseline,7,1,41400,0.52126301
baseline,7,1,41610,0.52126320
baseline,7,1,41820,0.52126324
baseline,7,1,42030,0.52126334
baseline,7,1,42240,0.52126334
baseline,7,1,42450,0.52126365
baseline,7,1,42660,0.52126356
baseline,7,1,42870,0.52126357
baseline,7,1,43080,0.52126366
baseline,7,1,43290,0.52126379
baseline,7,1,43500,0.52126395
baseline,7,1,43710,0.52126384
baseline,7,1,43920,0.52126389
baseline,7,1,44130,0.52126397
baseline,7,1,44340,0.52126399
baseline,7,1,44550,0.52126407
baseline,7,1,44760,0.52126414
baseline,7,1,44970,0.52126409
baseline,7,1,45180,0.52126412
baseline,7,1,45390,0.52126412
baseline,7,1,45600,0.52126425
baseline,7,1,45810,0.52126416
baseline,7,1,46020,0.52126424
baseline,7,1,46230,0.52126424
baseline,7,1,46440,0.52126426
baseline,7,1,46650,0.52126429
baseline,7,1,46860,0.52126432
baseline,7,1,47070,0.52126436
baseline,7,1,47280,0.52126435
baseline,7,1,47490,0.52126435
baseline,7,1,47700,0.52126438
baseline,7,1,47910,0.52126440
baseline,7,1,48120,0.52126445
baseline,7,1,48330,0.52126449
baseline,7,1,48540,0.52126450
baseline,7,1,48750,0.52126447
baseline,7,1,48960,0.52126452
baseline,7,1,49170,0.52126464
baseline,7,1,49380,0.52126457
baseline,7,1,49590,0.52126468
baseline,7,1,49800,0.52126465
baseline,7,1,50010,0.52126470
baseline,7,1,50220,0.52126474
baseline,7,1,50430,0.52126473
baseline,7,1,50640,0.52126472
baseline,7,1,50850,0.52126480
baseline,7,1,51060,0.52126484
baseline,7,1,51270,0.52126488
baseline,7,1,51480,0.52126487
baseline,7,1,51690,0.52126496
baseline,7,1,51900,0.52126498
baseline,7,1,52110,0.52126498
baseline,7,1,52320,0.52126506
baseline,7,1,52530,0.52126508
baseline,7,1,52740,0.52126514
baseline,7,1,52950,0.52126523
baseline,7,1,53160,0.52126521
baseline,7,1,53370,0.52126518
baseline,7,1,53580,0.52126518
baseline,7,1,53790,0.52126522
baseline,7,1,54000,0.52126531
baseline,7,1,54210,0.52126531
baseline,7,1,54420,0.52126526
baseline,7,1,54630,0.52126526
baseline,7,1,54840,0.52126524
baseline,7,1,55050,0.52126535
baseline,7,1,55260,0.52126541
baseline,7,1,55470,0.52126546
baseline,7,1,55680,0.52126546
baseline,7,1,55890,0.52126547
baseline,7,1,56100,0.52126554
baseline,7,1,56310,0.52126558
baseline,7,1,56520,0.52126561
baseline,7,1,56730,0.52126561
baseline,7,1,56940,0.52126568
baseline,7,1,57150,0.52126568
baseline,7,1,57360,0.52126571
baseline,7,1,57570,0.52126574
baseline,7,1,57780,0.52126576
baseline,7,1,57990,0.52126583
baseline,7,1,58200,0.52126583
baseline,7,1,58410,0.52126582
baseline,7,1,58620,0.52126589
baseline,7,1,58830,0.52126589
baseline,7,1,59040,0.52126592
baseline,7,1,59250,0.52126591
baseline,7,1,59460,0.52126601
baseline,7,1,59670,0.52126597
baseline,7,1,59880,0.52126603
baseline,7,1,60090,0.52126613
baseline,7,1,60300,0.52126613
baseline,7,1,60510,0.52126620
baseline,7,1,60720,0.52126626
baseline,7,1,60930,0.52126623
baseline,7,1,61140,0.52126622
baseline,7,1,61350,0.52126623
baseline,7,1,61560,0.52126626
baseline,7,1,61770,0.52126630
baseline,7,1,61980,0.52126632
baseline,7,1,62190,0.52126631
baseline,7,1,62400,0.52126641
baseline,7,1,62610,0.52126641
baseline,7,1,62820,0.52126648
baseline,7,1,63030,0.52126644
baseline,7,1,63240,0.52126649
baseline,7,1,63450,0.52126651
baseline,7,1,63660,0.52126650
baseline,7,1,63870,0.52126661
baseline,7,1,64080,0.52126655
baseline,7,1,64290,0.52126665
baseline,7,1,64500,0.52126668
baseline,7,1,64710,0.52126671
baseline,7,1,64920,0.52126670
baseline,7,1,65130,0.52126680
baseline,7,1,65340,0.52126677
baseline,7,1,65550,0.52126685
baseline,7,1,65760,0.52126683
baseline,7,1,65970,0.52126684
baseline,7,1,66180,0.52126685
baseline,7,1,66390,0.52126699
baseline,7,1,66600,0.52126702
baseline,7,1,66810,0.52126694
baseline,7,1,67020,0.52126703
baseline,7,1,67230,0.52126708
baseline,7,1,67440,0.52126707
baseline,7,1,67650,0.52126706
baseline,7,1,67860,0.52126712
baseline,7,1,68070,0.52126711
baseline,7,1,68280,0.52126719
baseline,7,1,68490,0.52126744
baseline,7,1,68700,0.52126723
baseline,7,1,68910,0.52126725
baseline,7,1,69120,0.52126726
baseline,7,1,69330,0.52126729
baseline,7,1,69540,0.52126732
baseline,7,1,69750,0.52126736
baseline,7,1,69960,0.52126738
baseline,7,1,70170,0.52126742
baseline,7,1,70380,0.52126755
baseline,7,1,70590,0.52126755
baseline,7,1,70800,0.52126757
baseline,7,1,71010,0.52126763
baseline,7,1,71220,0.52126768
baseline,7,1,71430,0.52126764
