treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B+plus,WP2,7,18,SINGLE_VARIANCE,lhs,plus,off,0.53484485,0.00196593,100200,477,10950,,
B+plus,WP2,7,19,SINGLE_VARIANCE,lhs,plus,off,0.51971582,0.03019708,100200,477,,,
B+plus,WP2,7,20,SINGLE_VARIANCE,lhs,plus,off,0.52484708,0.02062202,100200,477,,,
B+plus,WP2,7,21,SINGLE_VARIANCE,lhs,plus,off,0.51195653,0.04467612,100200,477,,,
B+plus,WP2,7,22,SINGLE_VARIANCE,lhs,plus,off,0.5090438,0.05011133,100200,477,,,
B+plus,WP2,7,23,SINGLE_VARIANCE,lhs,plus,off,0.50938243,0.04947944,100200,477,,,
B+plus,WP2,7,24,SINGLE_VARIANCE,lhs,plus,off,0.51231345,0.04401009,100200,477,,,
B+plus,WP2,10,0,SINGLE_VARIANCE,lhs,plus,off,0.37829794,0.10202631,100200,477,,,
B+plus,WP2,10,1,SINGLE_VARIANCE,lhs,plus,off,0.27660894,0.34340761,100200,477,,,
B+plus,WP2,10,2,SINGLE_VARIANCE,lhs,plus,off,0.4079165,0.03172015,100200,477,,,
B+plus,WP2,10,3,SINGLE_VARIANCE,lhs,plus,off,0.41148184,0.02325701,100200,477,58200,,
B+plus,WP2,10,4,SINGLE_VARIANCE,lhs,plus,off,0.37619022,0.10702946,100200,477,,,
B+plus,WP2,10,5,SINGLE_VARIANCE,lhs,plus,off,0.39702675,0.05756936,100200,477,,,
B+plus,WP2,10,6,SINGLE_VARIANCE,lhs,plus,off,0.38801044,0.07897157,100200,477,,,
B+plus,WP2,10,7,SINGLE_VARIANCE,lhs,plus,off,0.4078473,0.03188439,100200,477,,,
B+plus,WP2,10,8,SINGLE_VARIANCE,lhs,plus,off,0.38963813,0.07510789,100200,477,,,
B+plus,WP2,10,9,SINGLE_VARIANCE,lhs,plus,off,0.41268465,0.02040187,100200,477,25860,,
B+plus,WP2,10,10,SINGLE_VARIANCE,lhs,plus,off,0.41172443,0.02268117,100200,477,33420,,
B+plus,WP2,10,11,SINGLE_VARIANCE,lhs,plus,off,0.38739327,0.08043656,100200,477,,,
